epoch,loss,lr,time
1,4.498248,0.00010000,41.63
2,4.154561,0.00020000,43.26
3,4.085363,0.00030000,38.98
4,4.040450,0.00029745,38.23
5,4.003316,0.00028987,37.94
6,3.980490,0.00027753,39.27
7,3.966054,0.00026085,34.57
8,3.950172,0.00024040,38.47
9,3.936457,0.00021686,32.99
10,3.925256,0.00019105,26.19
11,3.916424,0.00016384,31.00
12,3.905688,0.00013616,36.13
13,3.897564,0.00010895,42.61
14,3.888446,0.00008314,42.75
15,3.882714,0.00005960,42.29
16,3.880022,0.00003915,40.55
17,3.872799,0.00002247,42.25
18,3.869078,0.00001013,31.84
19,3.864776,0.00000255,38.89
20,3.865282,0.00000000,37.73
