epoch,loss,lr,time
1,4.662658,0.00010000,66.98
2,4.264699,0.00020000,67.10
3,4.173808,0.00030000,64.80
4,4.115796,0.00029745,63.86
5,4.071802,0.00028987,67.74
6,4.035651,0.00027753,72.71
7,4.008499,0.00026085,67.64
8,3.986441,0.00024040,67.90
9,3.964617,0.00021686,72.95
10,3.951606,0.00019105,66.80
11,3.935335,0.00016384,69.41
12,3.924390,0.00013616,69.80
13,3.911722,0.00010895,66.53
14,3.900143,0.00008314,67.35
15,3.892214,0.00005960,67.16
16,3.886467,0.00003915,75.38
17,3.880071,0.00002247,67.10
18,3.875657,0.00001013,73.42
19,3.874832,0.00000255,67.87
20,3.871729,0.00000000,65.70
