epoch,loss,lr,time
1,4.873655,0.00010000,62.76
2,4.461080,0.00020000,66.32
3,4.338643,0.00030000,67.04
4,4.241979,0.00029745,69.65
5,4.173931,0.00028987,67.94
6,4.125771,0.00027753,50.71
7,4.094928,0.00026085,49.91
8,4.070024,0.00024040,49.71
9,4.049381,0.00021686,49.42
10,4.033632,0.00019105,109.65
11,4.017553,0.00016384,78.05
12,4.004970,0.00013616,47.75
13,3.993646,0.00010895,47.63
14,3.980842,0.00008314,47.52
15,3.973191,0.00005960,47.63
16,3.964283,0.00003915,47.63
17,3.958910,0.00002247,47.68
18,3.952524,0.00001013,47.61
19,3.951577,0.00000255,48.13
20,3.948682,0.00000000,47.84
