epoch,loss,lr,time
1,4.283448,0.00010000,25.09
2,3.924870,0.00020000,32.43
3,3.866322,0.00030000,33.19
4,3.833892,0.00029745,29.37
5,3.812094,0.00028987,23.18
6,3.797162,0.00027753,22.82
7,3.790140,0.00026085,31.78
8,3.778145,0.00024040,32.23
9,3.772397,0.00021686,36.84
10,3.762793,0.00019105,34.89
11,3.757928,0.00016384,32.77
12,3.752744,0.00013616,35.76
13,3.747439,0.00010895,36.51
14,3.741134,0.00008314,32.07
15,3.737979,0.00005960,29.62
16,3.733711,0.00003915,22.95
17,3.732138,0.00002247,22.78
18,3.728726,0.00001013,22.89
19,3.726710,0.00000255,22.26
20,3.727557,0.00000000,22.84
