epoch,loss,lr,time
1,4.883722,0.00010000,715.10
2,4.478287,0.00020000,723.08
3,4.361162,0.00030000,720.52
4,4.270941,0.00029745,722.60
5,4.201657,0.00028987,722.84
6,4.158618,0.00027753,722.78
7,4.125575,0.00026085,721.71
8,4.093816,0.00024040,721.87
9,4.072804,0.00021686,722.03
10,4.056089,0.00019105,723.02
11,4.040461,0.00016384,722.35
12,4.025043,0.00013616,724.09
13,4.011437,0.00010895,723.30
14,4.001198,0.00008314,720.34
15,3.993854,0.00005960,722.31
16,3.983441,0.00003915,724.06
17,3.976355,0.00002247,723.55
18,3.973901,0.00001013,721.49
19,3.969947,0.00000255,720.74
20,3.967649,0.00000000,719.14
