epoch,loss,lr,time
1,4.507616,0.00010000,40.40
2,4.162005,0.00020000,41.32
3,4.091568,0.00030000,41.71
4,4.044829,0.00029745,41.92
5,4.010466,0.00028987,41.08
6,3.987932,0.00027753,41.93
7,3.970130,0.00026085,41.13
8,3.955465,0.00024040,41.48
9,3.940836,0.00021686,41.48
10,3.928948,0.00019105,41.44
11,3.918961,0.00016384,42.13
12,3.912158,0.00013616,41.75
13,3.905043,0.00010895,42.20
14,3.898348,0.00008314,41.13
15,3.888340,0.00005960,41.62
16,3.884035,0.00003915,41.00
17,3.878661,0.00002247,37.56
18,3.876759,0.00001013,33.23
19,3.873478,0.00000255,33.49
20,3.874491,0.00000000,37.94
