epoch,loss,lr,time_s
188,4.949640,0.00059974,36.22
189,4.949591,0.00050507,36.23
190,4.949608,0.00041847,36.22
191,4.949596,0.00033996,36.22
192,4.949623,0.00026955,36.24
193,4.949616,0.00020727,36.22
194,4.949605,0.00015314,36.22
195,4.949630,0.00010716,36.22
196,4.949607,0.00006936,36.22
197,4.949570,0.00003974,36.19
198,4.949547,0.00001831,36.24
199,4.949610,0.00000508,36.24
200,4.949555,0.00000005,36.22
