epoch,loss,lr,time_s
188,4.947892,0.00059872,36.11
189,4.947885,0.00050414,36.12
190,4.947886,0.00041762,36.10
191,4.947858,0.00033919,36.12
192,4.947880,0.00026887,36.13
193,4.947873,0.00020667,36.13
194,4.947873,0.00015262,36.12
195,4.947845,0.00010673,36.13
196,4.947873,0.00006901,36.12
197,4.947867,0.00003948,36.11
198,4.947861,0.00001814,36.13
199,4.947861,0.00000499,36.13
200,4.947862,0.00000004,36.11
