epoch,loss,lr,time
1,4.296398,0.00010000,40.73
2,3.932341,0.00020000,40.19
3,3.869903,0.00030000,38.78
4,3.834707,0.00029745,41.86
5,3.813252,0.00028987,27.16
6,3.802143,0.00027753,37.26
7,3.790978,0.00026085,43.07
8,3.783084,0.00024040,41.81
9,3.775040,0.00021686,39.62
10,3.768028,0.00019105,43.40
11,3.762551,0.00016384,43.49
12,3.755706,0.00013616,41.65
13,3.750374,0.00010895,42.63
14,3.745603,0.00008314,40.69
15,3.741667,0.00005960,42.32
16,3.739769,0.00003915,39.94
17,3.734906,0.00002247,39.67
18,3.731834,0.00001013,38.93
19,3.730718,0.00000255,36.07
20,3.730278,0.00000000,38.60
